yearMonth,elementType,averageValue
185905,TMIN,9.48
185906,TMAX,21.64
185906,TMIN,11.04
185907,TMAX,23.08
185907,TMIN,12.17
185908,TMAX,23.02
185908,TMIN,12.33
185909,TMAX,20.22
185909,TMIN,10.63
185910,TMAX,17.87
185910,TMIN,8.13
185911,TMAX,12.99
185911,TMIN,4.5
185912,TMAX,9.91
185912,TMIN,1.41
186001,TMAX,12.95
186001,TMIN,4.31
186002,TMAX,11.28
186002,TMIN,2.57
186003,TMAX,14.83
186003,TMIN,5.35
186004,TMAX,15.01
186004,TMIN,5.91
186005,TMAX,20.41
186005,TMIN,9.55
186006,TMAX,21.18
186006,TMIN,11.0
186007,TMAX,20.95
186007,TMIN,11.18
186008,TMAX,21.36
186008,TMIN,11.66
186009,TMAX,19.49
186009,TMIN,10.71
186010,TMAX,16.86
186010,TMIN,8.17
186011,TMAX,12.37
186011,TMIN,4.48
186012,TMAX,9.31
186012,TMIN,2.08
186101,TMAX,7.5
186101,TMIN,-0.5
186102,TMAX,11.04
186102,TMIN,2.92
186103,TMAX,13.1
186103,TMIN,3.88
186104,TMAX,14.84
186104,TMIN,5.09
186105,TMAX,17.1
186105,TMIN,6.34
186106,TMAX,21.18
186106,TMIN,10.49
186107,TMAX,20.97
186107,TMIN,10.66
186108,TMAX,22.33
186108,TMIN,11.49
186109,TMAX,19.52
186109,TMIN,9.41
186110,TMAX,17.45
186110,TMIN,7.09
186111,TMAX,12.0
186111,TMIN,3.41
186112,TMAX,10.27
186112,TMIN,1.96
186201,TMAX,7.48
186201,TMIN,0.09
186202,TMAX,8.7
186202,TMIN,1.52
186203,TMAX,13.3
186203,TMIN,4.13
186204,TMAX,16.0
186204,TMIN,6.08
186205,TMAX,19.19
186205,TMIN,8.84
186206,TMAX,19.68
186206,TMIN,10.0
186207,TMAX,21.4
186207,TMIN,10.84
186208,TMAX,20.86
186208,TMIN,10.27
186209,TMAX,20.01
186209,TMIN,9.17
186210,TMAX,17.27
186210,TMIN,7.36
186211,TMAX,13.49
186211,TMIN,4.21
186212,TMAX,12.15
186212,TMIN,3.17
186301,TMAX,12.81
186301,TMIN,4.66
186302,TMAX,11.96
186302,TMIN,2.76
186303,TMAX,13.44
186303,TMIN,4.06
186304,TMAX,16.63
186304,TMIN,4.42
186305,TMAX,18.74
186305,TMIN,7.82
186306,TMAX,20.43
186306,TMIN,10.03
186307,TMAX,21.62
186307,TMIN,10.74
186308,TMAX,22.23
186308,TMIN,11.4
186309,TMAX,18.81
186309,TMIN,8.83
186310,TMAX,16.78
186310,TMIN,7.57
186311,TMAX,13.78
186311,TMIN,4.73
186312,TMAX,11.48
186312,TMIN,3.25
186401,TMAX,4.05
186401,TMIN,-2.45
186402,TMAX,6.19
186402,TMIN,-0.28
186403,TMAX,10.86
186403,TMIN,3.19
186404,TMAX,13.97
186404,TMIN,5.28
186405,TMAX,17.05
186405,TMIN,8.22
186406,TMAX,19.63
186406,TMIN,10.94
186407,TMAX,21.36
186407,TMIN,12.21
186408,TMAX,20.46
186408,TMIN,11.52
186409,TMAX,18.48
186409,TMIN,10.09
186410,TMAX,13.45
186410,TMIN,6.48
186411,TMAX,9.62
186411,TMIN,3.23
186412,TMAX,6.04
186412,TMIN,0.48
186501,TMAX,6.13
186501,TMIN,0.08
186502,TMAX,5.93
186502,TMIN,-1.13
186503,TMAX,8.07
186503,TMIN,0.97
186504,TMAX,16.74
186504,TMIN,6.65
186505,TMAX,19.08
186505,TMIN,9.5
186506,TMAX,20.77
186506,TMIN,11.08
186507,TMAX,22.93
186507,TMIN,13.02
186508,TMAX,21.55
186508,TMIN,12.06
186509,TMAX,21.69
186509,TMIN,11.29
186510,TMAX,15.33
186510,TMIN,6.74
186511,TMAX,11.46
186511,TMIN,4.81
186512,TMAX,7.81
186512,TMIN,1.6
186601,TMAX,6.93
186601,TMIN,-0.46
186602,TMAX,7.82
186602,TMIN,-0.63
186603,TMAX,8.29
186603,TMIN,0.23
186604,TMAX,15.32
186604,TMIN,5.16
186605,TMAX,16.65
186605,TMIN,6.13
186606,TMAX,22.37
186606,TMIN,11.86
186607,TMAX,23.76
186607,TMIN,13.65
186608,TMAX,20.92
186608,TMIN,11.43
186609,TMAX,19.17
186609,TMIN,9.89
186610,TMAX,15.23
186610,TMIN,5.81
186611,TMAX,10.13
186611,TMIN,2.59
186612,TMAX,5.56
186612,TMIN,-1.75
186701,TMAX,3.51
186701,TMIN,-5.0
186702,TMAX,8.6
186702,TMIN,-0.23
186703,TMAX,7.57
186703,TMIN,-1.34
186704,TMAX,13.52
186704,TMIN,4.19
186705,TMAX,16.22
186705,TMIN,6.46
186706,TMAX,22.31
186706,TMIN,11.51
186707,TMAX,22.79
186707,TMIN,12.02
186708,TMAX,23.59
186708,TMIN,12.54
186709,TMAX,20.32
186709,TMIN,9.59
186710,TMAX,15.24
186710,TMIN,5.63
186711,TMAX,9.81
186711,TMIN,1.17
186712,TMAX,4.53
186712,TMIN,-4.39
186801,TMAX,3.36
186801,TMIN,-4.98
186802,TMAX,5.81
186802,TMIN,-4.67
186803,TMAX,10.28
186803,TMIN,0.1
186804,TMAX,12.9
186804,TMIN,2.75
186805,TMAX,19.26
186805,TMIN,8.6
186806,TMAX,22.19
186806,TMIN,11.23
186807,TMAX,25.71
186807,TMIN,14.42
186808,TMAX,23.13
186808,TMIN,12.63
186809,TMAX,19.45
186809,TMIN,9.53
186810,TMAX,13.9
186810,TMIN,4.61
186811,TMAX,8.49
186811,TMIN,1.62
186812,TMAX,5.69
186812,TMIN,-1.96
186901,TMAX,6.59
186901,TMIN,-2.03
186902,TMAX,8.27
186902,TMIN,-0.63
186903,TMAX,7.75
186903,TMIN,-2.09
186904,TMAX,15.09
186904,TMIN,4.76
186905,TMAX,18.13
186905,TMIN,8.42
186906,TMAX,20.29
186906,TMIN,10.78
186907,TMAX,23.71
186907,TMIN,13.8
186908,TMAX,22.44
186908,TMIN,12.77
186909,TMAX,20.74
186909,TMIN,10.97
186910,TMAX,13.42
186910,TMIN,4.73
186911,TMAX,9.13
186911,TMIN,1.55
186912,TMAX,5.59
186912,TMIN,-1.42
187001,TMAX,6.24
187001,TMIN,-2.05
187002,TMAX,5.34
187002,TMIN,-3.35
187003,TMAX,7.63
187003,TMIN,-0.91
187004,TMAX,15.56
187004,TMIN,4.98
187005,TMAX,19.79
187005,TMIN,8.7
187006,TMAX,23.14
187006,TMIN,12.85
187007,TMAX,24.55
187007,TMIN,14.1
187008,TMAX,23.05
187008,TMIN,12.58
187009,TMAX,20.3
187009,TMIN,9.96
187010,TMAX,16.14
187010,TMIN,6.66
187011,TMAX,11.12
187011,TMIN,2.6
187012,TMAX,5.51
187012,TMIN,-2.3
187101,TMAX,4.04
187101,TMIN,-4.49
187102,TMAX,6.87
187102,TMIN,-2.38
187103,TMAX,11.09
187103,TMIN,1.88
187104,TMAX,14.63
187104,TMIN,4.62
187105,TMAX,18.34
187105,TMIN,7.81
187106,TMAX,20.68
187106,TMIN,10.8
187107,TMAX,23.43
187107,TMIN,13.29
187108,TMAX,23.82
187108,TMIN,12.82
187109,TMAX,19.88
187109,TMIN,9.13
187110,TMAX,16.36
187110,TMIN,5.72
187111,TMAX,8.77
187111,TMIN,0.29
187112,TMAX,4.89
187112,TMIN,-5.32
187201,TMAX,5.79
187201,TMIN,-3.4
187202,TMAX,7.08
187202,TMIN,-3.65
187203,TMAX,7.37
187203,TMIN,-3.32
187204,TMAX,14.16
187204,TMIN,3.28
187205,TMAX,18.42
187205,TMIN,7.58
187206,TMAX,22.79
187206,TMIN,12.31
187207,TMAX,25.02
187207,TMIN,14.37
187208,TMAX,24.14
187208,TMIN,13.8
187209,TMAX,21.28
187209,TMIN,10.97
187210,TMAX,15.85
187210,TMIN,5.39
187211,TMAX,8.86
187211,TMIN,0.15
187212,TMAX,3.27
187212,TMIN,-5.69
187301,TMAX,3.35
187301,TMIN,-6.16
187302,TMAX,3.88
187302,TMIN,-6.24
187303,TMAX,8.26
187303,TMIN,-1.71
187304,TMAX,12.38
187304,TMIN,2.81
187305,TMAX,18.01
187305,TMIN,6.85
187306,TMAX,23.38
187306,TMIN,11.83
187307,TMAX,24.98
187307,TMIN,13.73
187308,TMAX,24.06
187308,TMIN,13.18
187309,TMAX,20.37
187309,TMIN,9.21
187310,TMAX,15.44
187310,TMIN,5.05
187311,TMAX,7.36
187311,TMIN,-1.46
187312,TMAX,6.46
187312,TMIN,-2.11
187401,TMAX,4.88
187401,TMIN,-4.03
187402,TMAX,4.16
187402,TMIN,-5.13
187403,TMAX,7.77
187403,TMIN,-1.87
187404,TMAX,11.45
187404,TMIN,1.53
187405,TMAX,18.14
187405,TMIN,6.99
187406,TMAX,22.0
187406,TMIN,11.4
187407,TMAX,24.7
187407,TMIN,13.65
187408,TMAX,23.21
187408,TMIN,12.38
187409,TMAX,21.47
187409,TMIN,10.81
187410,TMAX,16.55
187410,TMIN,6.46
187411,TMAX,9.36
187411,TMIN,0.2
187412,TMAX,4.82
187412,TMIN,-3.61
187501,TMAX,1.31
187501,TMIN,-7.34
187502,TMAX,1.38
187502,TMIN,-10.98
187503,TMAX,6.16
187503,TMIN,-3.57
187504,TMAX,12.15
187504,TMIN,1.75
187505,TMAX,18.19
187505,TMIN,7.06
187506,TMAX,22.33
187506,TMIN,11.17
187507,TMAX,23.83
187507,TMIN,13.33
187508,TMAX,23.97
187508,TMIN,13.45
187509,TMAX,19.91
187509,TMIN,9.33
187510,TMAX,13.69
187510,TMIN,4.4
187511,TMAX,6.87
187511,TMIN,-1.26
187512,TMAX,5.0
187512,TMIN,-3.71
187601,TMAX,4.17
187601,TMIN,-5.0
187602,TMAX,4.48
187602,TMIN,-5.35
187603,TMAX,6.95
187603,TMIN,-2.85
187604,TMAX,12.62
187604,TMIN,2.62
187605,TMAX,17.2
187605,TMIN,6.46
187606,TMAX,22.95
187606,TMIN,12.39
187607,TMAX,24.69
187607,TMIN,14.07
187608,TMAX,24.56
187608,TMIN,13.46
187609,TMAX,19.18
187609,TMIN,9.6
187610,TMAX,14.24
187610,TMIN,4.98
187611,TMAX,8.23
187611,TMIN,0.9
187612,TMAX,0.44
187612,TMIN,-6.08
187701,TMAX,1.52
187701,TMIN,-7.82
187702,TMAX,6.25
187702,TMIN,-2.85
187703,TMAX,6.26
187703,TMIN,-3.25
187704,TMAX,13.18
187704,TMIN,2.64
187705,TMAX,17.48
187705,TMIN,6.7
187706,TMAX,22.63
187706,TMIN,11.27
187707,TMAX,25.09
187707,TMIN,14.32
187708,TMAX,23.46
187708,TMIN,14.09
187709,TMAX,20.87
187709,TMIN,10.18
187710,TMAX,14.22
187710,TMIN,5.31
187711,TMAX,9.18
187711,TMIN,1.13
187712,TMAX,6.06
187712,TMIN,-1.63
187801,TMAX,3.36
187801,TMIN,-5.36
187802,TMAX,5.04
187802,TMIN,-3.47
187803,TMAX,9.91
187803,TMIN,0.4
187804,TMAX,14.96
187804,TMIN,4.94
187805,TMAX,17.12
187805,TMIN,7.38
187806,TMAX,22.08
187806,TMIN,11.08
187807,TMAX,25.16
187807,TMIN,14.5
187808,TMAX,24.62
187808,TMIN,13.97
187809,TMAX,21.09
187809,TMIN,10.65
187810,TMAX,16.18
187810,TMIN,6.46
187811,TMAX,9.01
187811,TMIN,1.51
187812,TMAX,3.04
187812,TMIN,-6.69
187901,TMAX,-0.09
187901,TMIN,-9.43
187902,TMAX,0.39
187902,TMIN,-9.05
187903,TMAX,4.94
187903,TMIN,-4.89
187904,TMAX,9.63
187904,TMIN,-0.43
187905,TMAX,15.93
187905,TMIN,4.77
187906,TMAX,19.28
187906,TMIN,8.51
187907,TMAX,24.06
187907,TMIN,13.14
187908,TMAX,23.67
187908,TMIN,12.93
187909,TMAX,19.87
187909,TMIN,9.58
187910,TMAX,16.87
187910,TMIN,7.07
187911,TMAX,8.39
187911,TMIN,-0.54
187912,TMAX,2.66
187912,TMIN,-6.83
188001,TMAX,12.52
188001,TMIN,-4.34
188002,TMAX,12.37
188002,TMIN,-4.78
188003,TMAX,13.96
188003,TMIN,-3.34
188004,TMAX,20.09
188004,TMIN,2.66
188005,TMAX,26.34
188005,TMIN,7.99
188006,TMAX,29.42
188006,TMIN,11.39
188007,TMAX,31.64
188007,TMIN,13.44
188008,TMAX,30.82
188008,TMIN,12.64
188009,TMAX,27.72
188009,TMIN,10.47
188010,TMAX,21.48
188010,TMIN,4.74
188011,TMAX,14.08
188011,TMIN,-1.62
188012,TMAX,10.3
188012,TMIN,-4.9
188101,TMAX,6.89
188101,TMIN,-9.4
188102,TMAX,10.01
188102,TMIN,-6.46
188103,TMAX,14.32
188103,TMIN,-1.66
188104,TMAX,18.55
188104,TMIN,1.35
188105,TMAX,25.5
188105,TMIN,7.83
188106,TMAX,21.05
188106,TMIN,10.03
188107,TMAX,31.27
188107,TMIN,13.57
188108,TMAX,30.2
188108,TMIN,13.61
188109,TMAX,27.86
188109,TMIN,10.99
188110,TMAX,20.41
188110,TMIN,4.63
188111,TMAX,14.88
188111,TMIN,-0.16
188112,TMAX,12.51
188112,TMIN,-2.39
188201,TMAX,9.39
188201,TMIN,-6.1
188202,TMAX,11.46
188202,TMIN,-4.61
188203,TMAX,14.28
188203,TMIN,-1.92
188204,TMAX,17.17
188204,TMIN,1.61
188205,TMAX,22.99
188205,TMIN,6.04
188206,TMAX,27.77
188206,TMIN,10.65
188207,TMAX,30.2
188207,TMIN,13.15
188208,TMAX,29.98
188208,TMIN,13.2
188209,TMAX,26.39
188209,TMIN,9.99
188210,TMAX,21.65
188210,TMIN,5.75
188211,TMAX,14.15
188211,TMIN,-0.12
188212,TMAX,9.29
188212,TMIN,-5.02
188301,TMAX,6.5
188301,TMIN,-9.55
188302,TMAX,8.91
188302,TMIN,-7.53
188303,TMAX,10.83
188303,TMIN,-6.07
188304,TMAX,17.82
188304,TMIN,1.57
188305,TMAX,23.22
188305,TMIN,6.49
188306,TMAX,28.71
188306,TMIN,11.95
188307,TMAX,29.98
188307,TMIN,13.07
188308,TMAX,29.53
188308,TMIN,12.39
188309,TMAX,25.77
188309,TMIN,8.92
188310,TMAX,19.89
188310,TMIN,4.75
188311,TMAX,14.92
188311,TMIN,0.06
188312,TMAX,9.81
188312,TMIN,-5.53
188401,TMAX,7.41
188401,TMIN,-8.64
188402,TMAX,9.65
188402,TMIN,-6.48
188403,TMAX,12.66
188403,TMIN,-3.71
188404,TMAX,17.97
188404,TMIN,2.27
188405,TMAX,23.64
188405,TMIN,7.02
188406,TMAX,28.25
188406,TMIN,11.19
188407,TMAX,29.1
188407,TMIN,12.85
188408,TMAX,29.29
188408,TMIN,12.29
188409,TMAX,26.68
188409,TMIN,10.19
188410,TMAX,20.3
188410,TMIN,4.98
188411,TMAX,13.25
188411,TMIN,-0.99
188412,TMAX,8.65
188412,TMIN,-5.48
188501,TMAX,5.94
188501,TMIN,-8.9
188502,TMAX,6.62
188502,TMIN,-9.13
188503,TMAX,9.67
188503,TMIN,-5.98
188504,TMAX,17.64
188504,TMIN,1.82
188505,TMAX,23.03
188505,TMIN,6.87
188506,TMAX,27.39
188506,TMIN,11.13
188507,TMAX,30.23
188507,TMIN,14.1
188508,TMAX,28.04
188508,TMIN,12.59
188509,TMAX,24.89
188509,TMIN,8.73
188510,TMAX,19.2
188510,TMIN,4.78
188511,TMAX,13.3
188511,TMIN,0.71
188512,TMAX,9.0
188512,TMIN,-4.46
188601,TMAX,5.11
188601,TMIN,-8.48
188602,TMAX,6.78
188602,TMIN,-7.92
188603,TMAX,10.51
188603,TMIN,-3.88
188604,TMAX,18.87
188604,TMIN,3.17
188605,TMAX,23.39
188605,TMIN,7.34
188606,TMAX,26.7
188606,TMIN,11.2
188607,TMAX,29.56
188607,TMIN,13.58
188608,TMAX,28.5
188608,TMIN,13.1
188609,TMAX,25.09
188609,TMIN,9.98
188610,TMAX,20.06
188610,TMIN,5.19
188611,TMAX,12.82
188611,TMIN,-0.39
188612,TMAX,6.34
188612,TMIN,-6.73
188701,TMAX,4.97
188701,TMIN,-9.94
188702,TMAX,6.23
188702,TMIN,-8.07
188703,TMAX,10.07
188703,TMIN,-4.28
188704,TMAX,16.41
188704,TMIN,1.24
188705,TMAX,24.5
188705,TMIN,8.19
188706,TMAX,27.13
188706,TMIN,11.44
188707,TMAX,30.66
188707,TMIN,15.04
188708,TMAX,28.19
188708,TMIN,12.49
188709,TMAX,24.3
188709,TMIN,9.04
188710,TMAX,17.77
188710,TMIN,3.65
188711,TMAX,12.42
188711,TMIN,-0.88
188712,TMAX,6.98
188712,TMIN,-5.25
188801,TMAX,3.47
188801,TMIN,-10.35
188802,TMAX,7.11
188802,TMIN,-7.46
188803,TMAX,9.31
188803,TMIN,-5.0
188804,TMAX,16.62
188804,TMIN,1.43
188805,TMAX,21.87
188805,TMIN,6.59
188806,TMAX,27.47
188806,TMIN,11.5
188807,TMAX,28.99
188807,TMIN,12.76
188808,TMAX,28.18
188808,TMIN,12.39
188809,TMAX,24.51
188809,TMIN,9.33
188810,TMAX,17.7
188810,TMIN,4.12
188811,TMAX,13.24
188811,TMIN,0.17
188812,TMAX,9.2
188812,TMIN,-3.64
188901,TMAX,7.55
188901,TMIN,-5.77
188902,TMAX,6.34
188902,TMIN,-8.37
188903,TMAX,12.52
188903,TMIN,-1.78
188904,TMAX,18.18
188904,TMIN,3.17
188905,TMAX,23.63
188905,TMIN,8.08
188906,TMAX,26.81
188906,TMIN,11.88
188907,TMAX,28.92
188907,TMIN,13.92
188908,TMAX,28.16
188908,TMIN,13.02
188909,TMAX,24.63
188909,TMIN,10.0
188910,TMAX,18.08
188910,TMIN,4.41
188911,TMAX,13.15
188911,TMIN,0.66
188912,TMAX,9.81
188912,TMIN,-3.05
189001,TMAX,6.95
189001,TMIN,-7.09
189002,TMAX,7.64
189002,TMIN,-6.47
189003,TMAX,10.23
189003,TMIN,-3.54
189004,TMAX,16.84
189004,TMIN,2.0
189005,TMAX,18.5
189005,TMIN,6.78
189006,TMAX,23.14
189006,TMIN,11.54
189007,TMAX,27.56
189007,TMIN,12.93
189008,TMAX,25.67
189008,TMIN,11.25
189009,TMAX,22.55
189009,TMIN,8.85
189010,TMAX,17.05
189010,TMIN,4.23
189011,TMAX,13.03
189011,TMIN,-0.77
189012,TMAX,5.02
189012,TMIN,-9.09
189101,TMAX,6.07
189101,TMIN,-7.86
189102,TMAX,7.35
189102,TMIN,-7.34
189103,TMAX,9.91
189103,TMIN,-3.76
189104,TMAX,17.24
189104,TMIN,2.27
189105,TMAX,22.05
189105,TMIN,6.3
189106,TMAX,25.78
189106,TMIN,10.51
189107,TMAX,24.16
189107,TMIN,12.61
189108,TMAX,27.59
189108,TMIN,12.77
189109,TMAX,25.57
189109,TMIN,10.25
189110,TMAX,18.62
189110,TMIN,3.97
189111,TMAX,11.65
189111,TMIN,-1.73
189112,TMAX,9.48
189112,TMIN,-3.52
189201,TMAX,5.18
189201,TMIN,-8.12
189202,TMAX,7.96
189202,TMIN,-5.18
189203,TMAX,10.15
189203,TMIN,-3.55
189204,TMAX,16.51
189204,TMIN,2.23
189205,TMAX,21.47
189205,TMIN,7.8
189206,TMAX,27.0
189206,TMIN,12.98
189207,TMAX,29.1
189207,TMIN,14.53
189208,TMAX,28.71
189208,TMIN,14.33
189209,TMAX,25.3
189209,TMIN,10.57
189210,TMAX,18.98
189210,TMIN,5.26
189211,TMAX,11.88
189211,TMIN,-0.34
189212,TMAX,6.37
189212,TMIN,-5.6
189301,TMAX,1.9
189301,TMIN,-10.6
189302,TMAX,4.93
189302,TMIN,-7.61
189303,TMAX,9.85
189303,TMIN,-2.83
189304,TMAX,16.15
189304,TMIN,3.22
189305,TMAX,21.91
189305,TMIN,8.07
189306,TMAX,27.8
189306,TMIN,13.74
189307,TMAX,30.14
189307,TMIN,15.61
189308,TMAX,28.86
189308,TMIN,14.19
189309,TMAX,24.95
189309,TMIN,10.51
189310,TMAX,19.2
189310,TMIN,5.26
189311,TMAX,11.11
189311,TMIN,-1.29
189312,TMAX,6.54
189312,TMIN,-5.46
189401,TMAX,5.17
189401,TMIN,-6.53
189402,TMAX,4.68
189402,TMIN,-7.38
189403,TMAX,13.02
189403,TMIN,0.04
189404,TMAX,17.96
189404,TMIN,4.37
189405,TMAX,22.99
189405,TMIN,8.99
189406,TMAX,28.02
189406,TMIN,13.28
189407,TMAX,30.54
189407,TMIN,15.37
189408,TMAX,29.28
189408,TMIN,14.38
189409,TMAX,25.34
189409,TMIN,11.48
189410,TMAX,19.17
189410,TMIN,5.58
189411,TMAX,11.12
189411,TMIN,-1.3
189412,TMAX,7.13
189412,TMIN,-3.94
189501,TMAX,2.64
189501,TMIN,-8.77
189502,TMAX,2.61
189502,TMIN,-9.72
189503,TMAX,10.32
189503,TMIN,-2.96
189504,TMAX,18.72
189504,TMIN,4.35
189505,TMAX,23.18
189505,TMIN,8.77
189506,TMAX,27.81
189506,TMIN,13.32
189507,TMAX,28.62
189507,TMIN,14.46
189508,TMAX,29.2
189508,TMIN,14.48
189509,TMAX,26.34
189509,TMIN,11.82
189510,TMAX,17.8
189510,TMIN,2.84
189511,TMAX,11.13
189511,TMIN,-0.78
189512,TMAX,6.49
189512,TMIN,-4.77
189601,TMAX,4.45
189601,TMIN,-6.36
189602,TMAX,6.82
189602,TMIN,-5.25
189603,TMAX,8.81
189603,TMIN,-3.72
189604,TMAX,18.52
189604,TMIN,4.96
189605,TMAX,24.48
189605,TMIN,10.65
189606,TMAX,27.57
189606,TMIN,13.38
189607,TMAX,29.54
189607,TMIN,16.0
189608,TMAX,29.16
189608,TMIN,14.92
189609,TMAX,23.86
189609,TMIN,10.18
189610,TMAX,17.69
189610,TMIN,4.31
189611,TMAX,10.31
189611,TMIN,-0.96
189612,TMAX,6.93
189612,TMIN,-4.02
189701,TMAX,2.62
189701,TMIN,-7.37
189702,TMAX,5.62
189702,TMIN,-4.68
189703,TMAX,9.76
189703,TMIN,-1.57
189704,TMAX,16.79
189704,TMIN,3.91
189705,TMAX,22.25
189705,TMIN,8.42
189706,TMAX,26.25
189706,TMIN,12.92
189707,TMAX,29.42
189707,TMIN,16.23
189708,TMAX,28.01
189708,TMIN,14.25
189709,TMAX,26.46
189709,TMIN,11.51
189710,TMAX,19.93
189710,TMIN,6.14
189711,TMAX,10.65
189711,TMIN,-0.75
189712,TMAX,4.46
189712,TMIN,-5.26
189801,TMAX,5.01
189801,TMIN,-5.37
189802,TMAX,6.37
189802,TMIN,-5.04
189803,TMAX,11.61
189803,TMIN,-0.45
189804,TMAX,16.16
189804,TMIN,3.02
189805,TMAX,21.94
189805,TMIN,9.09
189806,TMAX,27.1
189806,TMIN,13.92
189807,TMAX,29.28
189807,TMIN,15.72
189808,TMAX,28.64
189808,TMIN,15.58
189809,TMAX,25.42
189809,TMIN,11.89
189810,TMAX,17.11
189810,TMIN,5.38
189811,TMAX,9.77
189811,TMIN,-1.35
189812,TMAX,4.14
189812,TMIN,-6.37
189901,TMAX,3.78
189901,TMIN,-7.05
189902,TMAX,1.33
189902,TMIN,-9.73
189903,TMAX,7.92
189903,TMIN,-3.54
189904,TMAX,16.97
189904,TMIN,3.7
189905,TMAX,22.22
189905,TMIN,9.17
189906,TMAX,27.0
189906,TMIN,13.57
189907,TMAX,29.05
189907,TMIN,15.32
189908,TMAX,28.74
189908,TMIN,15.05
189909,TMAX,24.56
189909,TMIN,10.25
189910,TMAX,19.28
189910,TMIN,6.27
189911,TMAX,13.04
189911,TMIN,1.74
189912,TMAX,5.17
189912,TMIN,-5.23
190001,TMAX,5.8
190001,TMIN,-5.1
190002,TMAX,4.13
190002,TMIN,-7.55
190003,TMAX,9.48
190003,TMIN,-2.7
190004,TMAX,17.5
190004,TMIN,4.43
190005,TMAX,23.32
190005,TMIN,9.14
190006,TMAX,27.4
190006,TMIN,13.86
190007,TMAX,29.2
190007,TMIN,15.67
190008,TMAX,29.79
190008,TMIN,16.16
190009,TMAX,25.28
190009,TMIN,12.28
190010,TMAX,20.7
190010,TMIN,8.07
190011,TMAX,11.19
190011,TMIN,0.09
190012,TMAX,6.54
190012,TMIN,-4.03
190101,TMAX,4.88
190101,TMIN,-6.24
190102,TMAX,3.2
190102,TMIN,-7.9
190103,TMAX,10.46
190103,TMIN,-1.5
190104,TMAX,16.14
190104,TMIN,3.45
190105,TMAX,22.58
190105,TMIN,8.95
190106,TMAX,27.24
190106,TMIN,13.6
190107,TMAX,31.34
190107,TMIN,17.08
190108,TMAX,29.14
190108,TMIN,15.48
190109,TMAX,24.2
190109,TMIN,10.91
190110,TMAX,19.87
190110,TMIN,5.78
190111,TMAX,10.99
190111,TMIN,-1.05
190112,TMAX,5.2
190112,TMIN,-5.67
190201,TMAX,4.81
190201,TMIN,-6.67
190202,TMAX,4.43
190202,TMIN,-6.59
190203,TMAX,11.98
190203,TMIN,-0.02
190204,TMAX,17.16
190204,TMIN,3.65
190205,TMAX,23.31
190205,TMIN,9.88
190206,TMAX,26.25
190206,TMIN,12.7
190207,TMAX,28.89
190207,TMIN,15.45
190208,TMAX,28.15
190208,TMIN,14.47
190209,TMAX,23.89
190209,TMIN,10.28
190210,TMAX,19.33
190210,TMIN,5.88
190211,TMAX,13.03
190211,TMIN,1.93
190212,TMAX,4.53
190212,TMIN,-5.66
190301,TMAX,4.69
190301,TMIN,-5.99
190302,TMAX,5.15
190302,TMIN,-6.33
190303,TMAX,12.57
190303,TMIN,0.98
190304,TMAX,17.01
190304,TMIN,3.77
190305,TMAX,22.71
190305,TMIN,9.17
190306,TMAX,25.02
190306,TMIN,12.06
190307,TMAX,28.69
190307,TMIN,15.33
190308,TMAX,27.51
190308,TMIN,14.6
190309,TMAX,24.43
190309,TMIN,10.39
190310,TMAX,19.44
190310,TMIN,5.62
190311,TMAX,10.76
190311,TMIN,-1.14
190312,TMAX,4.95
190312,TMIN,-6.86
190401,TMAX,3.02
190401,TMIN,-8.77
190402,TMAX,4.66
190402,TMIN,-7.6
190403,TMAX,11.08
190403,TMIN,-1.13
190404,TMAX,15.95
190404,TMIN,2.81
190405,TMAX,22.97
190405,TMIN,8.9
190406,TMAX,26.39
190406,TMIN,12.88
190407,TMAX,28.45
190407,TMIN,14.82
190408,TMAX,28.0
190408,TMIN,14.05
190409,TMAX,25.09
190409,TMIN,11.2
190410,TMAX,19.2
190410,TMIN,5.44
190411,TMAX,13.11
190411,TMIN,-0.37
190412,TMAX,5.65
190412,TMIN,-5.65
190501,TMAX,2.62
190501,TMIN,-8.3
190502,TMAX,3.01
190502,TMIN,-8.52
190503,TMAX,13.45
190503,TMIN,0.85
190504,TMAX,17.28
190504,TMIN,4.0
190505,TMAX,22.17
190505,TMIN,9.22
190506,TMAX,26.74
190506,TMIN,13.47
190507,TMAX,28.65
190507,TMIN,15.42
190508,TMAX,28.86
190508,TMIN,15.13
190509,TMAX,25.48
190509,TMIN,11.82
190510,TMAX,18.04
190510,TMIN,4.97
190511,TMAX,12.46
190511,TMIN,0.2
190512,TMAX,6.31
190512,TMIN,-4.42
190601,TMAX,6.96
190601,TMIN,-4.38
190602,TMAX,6.88
190602,TMIN,-5.67
190603,TMAX,7.99
190603,TMIN,-3.01
190604,TMAX,18.88
190604,TMIN,4.81
190605,TMAX,22.53
190605,TMIN,8.88
190606,TMAX,26.58
190606,TMIN,13.16
190607,TMAX,28.91
190607,TMIN,15.26
190608,TMAX,28.82
190608,TMIN,15.56
190609,TMAX,25.97
190609,TMIN,12.39
190610,TMAX,18.53
190610,TMIN,5.43
190611,TMAX,11.38
190611,TMIN,0.09
190612,TMAX,6.62
190612,TMIN,-3.64
190701,TMAX,5.02
190701,TMIN,-5.92
190702,TMAX,6.83
190702,TMIN,-5.5
190703,TMAX,13.63
190703,TMIN,0.91
